Friday	Jumma
Day	Din
Garden	Gagh
Air	Hawa
Cool	Thanda
Fresh	Taza
Good	Acha
Walking	Chalna
Beautiful	Khubsurat
Flower	Phool
Saw	Dekha
Butterfly	Tittli
One	Aik
Yellow	Peela
Color	Rang
Place	Jagah
Other	Doosra
New	Naya
Good	Acha
High	Uncha
Old	Purana
Great	Zabardast
Big	Bara
American	Ameriki
Small	Chota
Large	Bara
National	Qaumi
Young	Jawan
Different	Mukhtalif
Black	Kaala
Long	Lamba
Little	Chota
Important	Ahm
Political	Seayasi
Bad	Bura
White	Safaid
Real	Asli
Best	Behtereen
Right	Sehi
Social	Samaji
Only	Sirf
Public	Awaam
Sure	Zaroor
Low	Kum
Early	Jaldi
Able	Kaabil
Human	Insaan	
Local	Mukaami
Late	Der
Hard	Mushkil
Major	aehim
Better	Bhetr
Economic	Akhtasadi
Strong	Mazboot
Possible	Mumkin
Whole	Poora
Free	Muft
Military	Fauji
True	Such
Federal	Wafaaqi
International	 Bain-al-Aqwami
Full	Mukamil
Special	Khaas
Easy	Aasaan
Clear	Saaf
Recent	Haalia
Certain	Yaqeeni
Personal	Zaati
Open	Khula
Red	Laal
Difficult	Mushkil
Available	Dastiyab
Likely	Imkaan
Short	Mukhtasir
Single	Ik
Medical	Tabi	
Current	Mojuda
Wrong	Ghalat
Private	Naji
Past	Maazi
Foreign	Gher-Mulki
Fine	Theek
Common	Aam
Poor	Ghareeb
Natural	Kudrati
Significant	Ahm
Hot	Garam
Dead	Murda
Central	Markazi
Happy	Khush
Serious	Sunjeeda
Ready	Tiyar
Simple	Saada
Left	Bayen
Physical	Jismani
Environmental	Maahooliyati
Financial	Maaliyati
Blue	Neela
Democratic	Jamhoori
Dark	Andhera
Various	Mukhtalif
Entire	Poori
Close	Kareeb
Legal	Kaanooni
Religious	Mazhabi
Cold	Thand
Final	Hatmi
Main	Markazi
Green	Hara
Nice	Acha
Huge	Bara
Popular	Makbool
Traditional	Rawayati
Cultural	Saqaafti
Time	Waqt
Year	Saal
People	Log
Way	Raasta
Day	Din
Man	Aadmi
Thing	Cheez
Woman	Aurat
Life	Zindagi
Child	Bacha
World	Dunya
State	Haalat
Family	Khaandaan
Student	Taalib
Group	Zumra
Country	Mulk
Problem	Masla
Hand	Haat
Part	Hissa
Place	Jaga
Case	Maamla
Week	Hafta
Question	Sawal
Work	Kaam
Government	Hakoomat
Night	Raat
Point	Nuqta
Home	Ghar
Water	Paani
Room	Kamra
Mother	Ammi
Area	Raqba
Money	Paisa
Story	Kahani
Fact	Haqeeqat
Month	Mahina
Lot	Bohot
Right	Sehi
Study	Parhai
Book	Kitaab
Eye	Aankh
Job	Kaam
Word	Lafz
Business	Karoobar
Issue	Masla
Side	Taraf
Kind	Meherbaan
Head	Sir
House	Ghar
Friend	Dost
Father	Abbu
Power	Taaqat
Hour	Ghanta
Game	Khel
Line	Qataar
End	Khatam
Member	Rukan
Law	Qanoon
Car	Gaari
City	Sheher
Community	Baradri
Name	Naam
President	Sadar
Idea	Khyaal
Kid	Bacha
Body	Jism
Information	Maaloomaat
Back	Peeche
Parent	Waalidein
Face	Chera
Others	Dusre
Level	Satah
Office	Daftr
Door	Darwaza
Health	Sehat
Person	Shaqs
War	Jang
History	Taareeq	
Result	Nateeja
Change	Tabdeeli
Morning	Subha
Reason	Waja
Research	Tehqeeq
Girl	Larki
Guy	Larka
Moment	Lamha
Air	Hawa
Teacher	Ustaad
Force	Zabardasti
Education	Taaleem
